bin1    bin2    count
82 83 1
18 19 1
27 28 1
89 89 1
69 69 1
88 88 1
21 21 1
81 81 1
30 30 1
67 67 1
16 16 2
77 77 1
73 73 1
11 11 1
80 80 3
47 47 1
68 68 3
33 33 1
62 62 1
27 27 1
64 64 1
79 79 1
56 56 1
54 63 1
24 24 1
69 69 1
64 87 1
54 74 1
56 56 1
81 81 1
86 86 1
5 5 2
13 13 1
84 84 1
75 75 1
44 44 2
61 61 1
58 58 1
89 89 1
32 32 1
7 7 1
57 57 1
45 49 1
31 31 1
46 46 1
21 21 1
67 67 1
73 73 1
86 86 1
28 28 1
8 15 1
13 13 1
40 41 1
73 82 1
82 82 1
86 86 1
46 46 1
16 16 1
10 10 2
73 73 1
49 51 1
57 57 1
23 24 1
84 84 1
63 63 1
24 77 2
54 54 1
67 67 1
6 6 1
27 27 1
39 39 1
66 66 1
57 57 1
62 62 1
86 86 1
47 47 1
62 62 1
9 9 1
52 52 1
59 59 1
79 79 1
52 52 1
85 85 1
77 77 1
53 53 1
78 78 1
4 4 1
33 33 2
43 49 1
33 34 1
79 79 1
9 14 1
42 42 1
61 61 2
48 48 2
44 44 1
62 82 1
29 29 1
12 12 2
26 26 1
32 32 1
42 42 1
67 67 1
7 20 1
8 8 2
67 67 1
67 67 1
40 41 1
32 37 1
60 60 1
51 54 1
79 79 1
35 35 1
6 6 1
66 66 1
25 25 1
24 24 1
13 13 1
67 67 1
77 77 1
18 18 1
51 51 1
44 49 1
58 58 1
14 14 1
34 34 1
70 70 1
5 5 1
48 48 1
60 60 1
81 81 1
48 79 1
63 63 2
88 88 2
17 17 1
8 8 1
38 38 1
73 73 1
36 36 1
38 38 1
24 24 1
46 70 1
36 39 1
49 49 1
31 31 1
11 89 1
67 67 1
61 61 1
43 68 1
71 71 1
19 19 1
83 83 1
42 46 3
56 56 1
39 42 1
47 47 1
23 23 1
69 69 1
75 75 1
21 22 1
30 30 1
68 68 1
35 35 1
63 87 1
41 41 1
61 61 1
72 73 1
43 43 1
71 71 1
52 52 1
83 84 1
57 57 1
86 86 1
44 44 1
7 39 1
19 20 1
34 34 1
59 59 1
13 14 1
24 24 2
17 17 1
44 57 1
33 33 1
10 11 1
11 11 1
21 21 1
74 74 1
49 49 1
78 78 1
15 16 1
4 4 1
76 76 1
9 9 2
70 70 1
9 74 1
26 47 1
26 26 1
45 45 1
61 61 1
32 32 1
48 48 1
16 16 1
75 75 1
79 79 1
68 80 1
26 26 1
60 60 1
28 28 1
40 40 1
79 79 1
62 62 1
