bin1    bin2    count
159 159 1
93 93 1
76 76 1
149 149 1
100 100 1
38 38 1
16 16 1
48 48 1
37 37 1
84 84 1
159 159 1
96 96 2
161 161 1
135 135 1
93 93 1
144 144 1
97 98 1
81 81 2
84 84 2
14 15 1
85 86 1
133 133 1
67 67 1
129 129 1
137 137 1
5 110 1
95 95 2
124 124 1
158 158 1
63 63 1
137 137 1
93 93 1
78 78 1
164 164 1
61 62 1
36 36 1
150 150 1
67 67 1
156 157 1
142 142 1
71 71 1
73 74 1
115 115 2
129 129 1
64 64 1
148 148 1
155 155 1
75 75 1
42 42 2
21 21 1
127 127 3
20 20 1
154 154 1
102 102 1
18 18 1
164 164 2
74 74 1
68 69 1
75 137 1
88 88 1
130 130 1
161 161 1
106 106 1
159 159 1
81 81 1
124 124 1
67 68 1
79 79 1
54 54 1
14 14 1
107 107 1
117 117 2
103 104 1
38 38 1
12 12 1
47 47 1
157 157 1
9 9 1
23 23 1
90 90 1
114 115 2
18 18 1
127 127 1
42 42 1
19 19 1
37 37 1
102 102 1
123 123 1
11 11 1
79 79 1
162 162 1
46 46 1
79 79 1
113 113 2
137 137 1
140 154 1
63 63 1
12 12 1
53 53 1
20 20 1
113 113 1
153 153 1
163 163 2
163 163 1
163 163 1
18 18 2
149 149 1
39 39 1
126 126 1
137 137 1
68 68 2
42 42 1
11 11 1
101 101 2
140 141 1
58 58 1
82 82 1
35 35 1
94 94 2
56 56 1
43 78 1
148 148 1
103 104 1
53 54 1
118 118 1
43 43 1
156 156 1
45 45 1
16 16 1
101 101 1
160 160 1
13 137 1
76 76 1
61 61 1
64 64 1
64 64 1
58 58 2
155 155 1
136 137 1
43 43 1
106 106 1
119 119 1
45 45 1
13 13 1
18 18 1
41 43 2
116 116 1
152 152 1
134 134 1
133 135 1
153 153 1
134 134 1
67 67 1
157 157 1
143 143 1
34 34 1
113 113 1
118 118 1
71 72 1
71 71 1
6 21 1
110 110 1
50 50 1
156 156 1
12 12 1
107 131 1
154 154 1
124 129 2
65 65 1
110 110 1
135 135 1
20 20 1
107 107 1
85 85 1
127 127 1
114 119 1
123 123 1
20 20 1
15 66 1
102 102 1
55 55 1
61 63 1
11 11 1
77 77 2
105 105 1
72 72 1
92 92 1
164 166 1
113 113 1
143 143 1
127 127 1
65 65 1
148 148 1
21 21 1
94 94 1
156 156 1
83 83 1
159 159 1
53 131 1
141 141 1
54 54 1
154 154 1
43 43 1
101 101 1
6 33 1
102 102 1
128 128 1
57 57 1
87 88 1
54 54 1
95 95 1
124 124 1
92 92 1
152 152 1
131 138 1
105 105 1
66 66 1
7 7 2
155 155 1
45 45 2
133 137 1
106 106 1
151 161 1
84 84 1
71 71 1
158 158 1
47 117 1
112 112 1
69 69 1
34 34 1
91 91 1
84 84 1
43 43 1
164 165 1
133 133 1
102 102 1
18 18 2
104 104 1
108 108 1
124 124 1
12 12 1
14 14 1
69 69 1
75 75 1
153 153 1
112 113 1
47 47 2
7 7 1
61 135 1
21 21 1
110 110 1
19 47 2
114 114 1
91 91 1
19 19 1
47 47 2
159 159 1
40 40 1
140 143 1
40 41 2
100 100 1
74 100 1
157 157 2
61 61 1
82 82 1
130 130 2
62 65 1
47 70 1
39 39 1
161 161 1
73 73 1
88 147 2
102 102 1
156 156 1
15 15 1
124 124 1
156 156 1
91 91 1
95 95 1
99 99 1
155 155 2
7 7 1
75 75 1
98 98 1
9 9 1
142 142 1
71 71 1
50 133 1
46 46 1
66 66 1
149 149 1
124 124 1
18 18 1
12 12 1
98 98 2
38 55 1
48 61 1
50 50 1
10 10 1
129 129 1
125 125 1
137 137 2
85 106 1
42 96 1
158 160 1
20 20 1
95 95 1
111 112 1
20 20 1
37 37 1
54 54 1
87 88 1
142 142 1
82 82 1
99 99 1
81 81 1
139 139 1
71 71 1
152 154 1
126 126 1
127 127 1
166 166 1
58 58 1
18 18 2
108 153 1
19 19 1
128 128 1
150 150 1
84 92 1
77 77 2
131 157 1
108 108 1
159 159 1
157 157 1
102 102 1
128 128 1
106 106 1
128 128 1
63 63 1
110 110 1
46 99 1
63 63 1
20 20 1
144 155 1
21 21 1
73 73 1
107 107 1
42 96 1
117 118 1
130 130 1
91 91 1
139 140 1
97 97 1
56 56 1
123 123 1
36 141 1
66 66 1
158 158 1
126 126 1
13 13 1
119 119 1
57 57 1
133 133 1
158 158 2
77 77 1
138 138 1
107 107 1
163 163 1
15 36 1
37 54 2
12 12 1
130 130 1
38 69 1
38 38 1
127 137 1
123 123 1
12 12 1
47 47 1
134 134 1
158 158 1
158 158 1
22 22 1
48 60 1
37 37 2
37 37 1
69 69 1
138 138 1
19 20 1
159 159 1
5 5 1
75 75 1
40 40 1
15 15 2
42 42 1
96 96 1
119 119 1
7 7 1
68 68 1
16 16 1
114 114 2
22 22 2
81 81 1
140 140 1
75 75 1
144 155 2
62 62 1
99 99 1
39 39 1
34 34 1
82 82 1
147 147 1
147 147 1
144 144 2
109 129 1
38 38 1
77 94 1
43 56 1
93 93 1
110 110 1
66 66 2
133 133 1
6 21 1
137 137 1
166 166 1
87 89 1
96 96 1
152 152 1
50 50 1
6 6 1
94 94 1
13 136 1
7 7 1
43 43 1
50 50 1
134 135 1
58 58 1
85 85 2
90 90 1
119 119 1
139 140 1
164 164 1
128 128 1
66 67 2
38 38 1
69 69 1
162 162 1
118 118 1
43 43 1
37 136 1
47 113 1
160 161 1
79 79 1
129 129 1
131 131 2
35 35 1
46 47 1
126 137 1
78 78 1
33 33 1
142 142 1
65 65 1
160 160 1
143 143 2
164 164 1
42 43 1
60 60 1
71 71 1
14 14 1
158 160 2
81 81 1
134 134 1
64 64 1
18 18 1
98 98 1
36 36 1
23 23 1
67 67 1
127 127 1
39 39 2
39 39 1
12 118 3
92 92 1
125 125 1
7 7 1
15 15 1
10 39 1
16 63 1
138 138 1
124 125 1
77 77 1
161 161 1
101 120 2
73 73 1
84 84 1
106 107 1
73 73 1
50 50 1
81 81 1
164 164 1
81 81 1
128 128 1
90 90 1
142 143 1
60 60 1
151 151 1
157 157 1
149 149 2
22 22 1
46 46 1
166 166 5
43 43 1
95 95 1
96 96 1
100 100 1
113 113 1
105 105 1
7 7 1
117 118 1
99 99 1
69 69 1
96 96 1
153 153 2
39 65 1
160 160 1
58 58 1
57 57 1
117 117 1
59 59 1
148 148 1
100 100 1
111 111 1
110 110 1
117 117 1
110 110 1
86 86 1
118 118 1
116 119 1
45 98 1
98 98 1
6 6 1
63 63 1
9 9 1
54 54 1
7 7 1
38 140 2
161 162 1
154 154 1
78 78 1
34 34 1
5 6 1
132 132 1
158 159 1
114 114 1
134 134 1
131 131 1
89 89 1
37 39 1
147 147 1
129 129 1
44 44 1
151 151 1
97 97 1
113 113 1
166 166 1
148 148 1
35 35 1
46 46 1
58 58 1
150 150 1
49 49 1
128 135 1
19 116 1
102 102 1
128 128 1
86 104 1
108 108 1
148 148 1
163 163 1
58 58 1
65 65 1
151 151 1
18 18 1
82 82 1
95 95 1
136 136 1
93 94 1
56 57 1
92 92 1
119 119 1
41 41 1
98 98 1
106 107 1
91 91 1
34 68 1
163 163 1
103 103 1
116 119 1
82 82 1
42 42 1
116 117 1
19 19 2
14 19 1
7 7 1
47 116 1
127 127 1
79 79 1
13 13 1
148 148 1
99 99 1
97 97 1
35 50 1
92 92 1
58 58 1
141 141 1
157 157 1
103 103 1
152 152 1
22 22 1
97 97 2
62 62 1
82 82 1
126 126 2
86 86 1
33 33 1
141 141 1
159 159 1
41 67 1
96 96 1
84 84 2
128 142 1
113 113 2
166 166 1
136 136 1
14 69 2
59 62 1
50 50 2
37 37 1
165 165 1
44 44 1
62 62 2
149 149 1
152 152 1
72 72 2
114 114 1
127 143 1
44 44 1
135 135 1
64 65 1
149 149 1
143 144 1
21 21 2
99 99 1
65 69 1
68 68 1
47 47 1
132 132 2
70 116 1
125 141 1
58 58 1
79 81 1
165 165 1
163 163 1
63 63 1
12 12 1
75 137 1
58 58 1
72 74 1
33 33 1
141 143 1
94 94 1
136 136 1
147 147 1
126 127 1
118 118 1
63 63 1
117 117 1
105 105 1
85 92 1
78 78 1
41 41 1
79 79 1
159 159 1
83 83 1
90 93 1
98 98 1
157 158 1
83 84 1
13 72 1
21 21 1
158 159 1
160 160 1
158 159 1
132 132 1
21 21 1
104 104 2
137 137 1
35 36 1
76 93 1
101 101 1
114 114 2
118 119 1
35 35 1
90 90 2
99 99 1
71 71 1
74 74 1
16 17 1
135 137 1
69 69 1
141 143 1
47 47 1
18 18 1
82 82 1
45 82 1
141 143 2
50 50 1
22 22 1
16 67 1
80 80 1
101 113 1
91 97 1
99 99 1
58 58 1
41 41 1
34 34 1
60 60 1
43 43 1
18 18 1
50 50 1
76 78 1
113 113 1
150 165 1
133 133 1
106 106 1
95 95 1
85 85 1
97 97 1
39 39 2
18 21 1
50 50 2
60 119 1
36 36 1
163 163 2
107 150 1
20 20 1
109 109 1
163 163 2
124 124 1
126 126 1
12 12 1
113 113 1
76 76 1
141 141 1
85 86 1
125 125 1
112 112 1
155 165 1
152 152 2
54 54 1
154 154 1
90 90 1
10 10 1
61 63 2
7 7 1
137 158 1
159 162 1
50 50 1
92 92 2
152 152 1
134 134 1
67 67 1
154 154 1
123 123 2
12 12 1
14 14 1
90 103 2
160 160 1
109 109 1
73 73 1
77 77 1
74 74 1
84 84 1
99 99 1
20 20 1
130 130 1
149 155 1
134 134 1
37 39 1
90 90 1
102 103 2
117 117 1
77 78 1
70 70 1
152 152 1
35 35 1
101 101 1
35 35 1
17 17 1
86 86 1
33 33 1
63 63 1
82 82 1
47 47 2
16 16 1
113 115 1
93 93 1
38 38 1
153 153 1
84 84 1
132 132 1
94 94 1
88 147 1
150 150 1
54 54 1
69 69 1
13 13 1
131 141 1
125 125 1
157 157 1
156 156 1
13 13 1
13 13 1
159 159 2
155 155 1
83 83 1
114 114 1
21 21 1
149 149 1
165 165 1
83 83 1
90 90 1
56 56 1
82 82 1
34 34 1
140 140 1
70 70 1
39 39 1
46 119 1
116 116 1
166 166 1
78 78 1
110 110 1
35 46 1
107 107 1
90 90 1
22 22 1
7 7 1
41 41 2
46 46 1
114 114 1
86 86 1
15 67 1
17 63 1
50 50 1
47 47 1
91 91 1
20 20 1
148 148 1
118 118 1
115 115 1
152 152 1
7 7 1
38 51 1
47 47 1
161 161 1
66 68 1
158 158 1
157 161 1
48 48 1
74 74 1
110 111 1
161 161 1
113 113 1
78 78 1
12 12 1
151 151 1
159 159 1
149 153 1
10 10 1
107 107 1
133 133 1
44 44 1
88 88 1
94 94 1
45 45 1
38 38 1
35 155 1
156 156 1
78 78 1
82 82 1
47 47 1
21 21 1
13 13 1
56 56 1
96 96 1
75 76 1
84 102 2
14 14 1
70 71 1
114 114 1
96 96 1
154 154 1
76 87 1
84 160 1
43 43 1
148 148 1
160 163 1
159 159 1
128 128 1
16 16 1
142 142 1
22 22 1
43 43 1
61 132 1
58 58 1
116 116 1
13 13 1
166 166 1
71 71 2
87 104 1
19 99 1
41 41 1
142 142 1
69 69 1
123 123 1
46 46 1
119 119 1
156 156 2
46 47 2
103 103 2
84 102 1
7 7 1
112 112 1
126 126 3
135 135 1
36 36 2
156 156 1
45 45 1
146 146 2
137 137 1
148 148 1
106 106 1
80 83 1
157 157 1
10 10 1
10 10 1
19 19 1
132 132 1
46 46 1
164 164 1
68 69 1
35 50 1
153 153 1
112 112 1
129 129 1
154 154 1
98 98 1
39 39 1
59 59 1
139 165 1
37 38 1
50 50 1
126 127 1
146 147 1
103 103 1
56 57 1
36 37 1
21 21 1
96 96 1
124 124 1
161 161 1
87 87 1
39 64 2
84 86 1
87 88 1
92 92 1
96 96 1
136 136 1
152 152 1
101 111 1
68 68 2
65 65 1
101 101 1
6 6 1
132 132 1
137 137 1
165 165 1
78 78 1
9 9 1
156 156 2
142 142 1
21 21 1
51 51 1
38 38 1
40 40 1
49 60 1
105 105 1
38 38 1
113 113 1
40 40 2
72 72 1
92 92 1
74 74 1
77 78 1
89 90 1
48 48 1
139 140 1
7 7 1
127 127 1
112 112 1
20 20 1
60 60 1
85 85 1
86 106 2
43 43 1
60 60 1
64 64 1
104 104 1
123 123 1
98 98 2
68 118 1
77 77 1
96 96 1
23 55 1
94 94 1
84 84 1
44 44 1
104 104 1
106 106 1
158 158 1
97 97 1
110 110 1
15 39 1
48 48 1
70 70 1
35 36 1
33 33 1
159 159 1
160 160 1
50 56 1
139 139 1
104 104 1
161 161 1
75 75 1
149 149 1
98 98 3
157 163 1
92 149 1
114 114 2
109 110 1
147 162 1
98 98 1
158 158 1
20 20 1
54 101 1
136 136 2
