bin1    bin2    count
51 51 1
76 76 1
106 106 1
49 49 1
57 57 1
38 38 1
55 56 1
67 67 1
13 13 1
113 113 1
101 101 1
91 91 1
80 80 2
117 117 1
106 114 2
106 106 1
101 101 1
92 92 1
74 74 1
66 72 2
120 120 1
91 94 1
25 25 1
84 84 1
59 59 1
95 95 1
96 98 1
99 99 1
92 93 1
56 56 1
121 122 1
63 63 2
35 35 1
84 84 1
112 112 1
84 84 1
40 40 1
52 52 1
13 18 1
71 72 1
106 107 2
99 99 1
107 107 1
59 59 1
60 61 1
92 93 1
102 103 1
55 55 1
105 105 1
103 103 1
122 122 1
80 80 1
103 103 1
37 39 1
16 17 1
9 9 1
101 101 1
58 58 1
89 89 1
121 122 1
19 19 1
113 113 1
61 61 1
10 35 1
104 104 1
44 44 1
82 82 1
113 113 1
94 94 1
83 83 1
63 63 1
107 113 1
15 15 1
25 25 1
35 35 1
105 106 1
59 59 1
63 63 1
48 61 1
45 58 1
107 107 1
65 65 1
34 34 1
68 99 1
120 120 1
105 105 1
34 34 2
38 38 1
85 85 1
45 45 1
32 32 1
121 121 1
82 82 1
78 78 1
50 75 1
34 34 1
103 104 1
89 89 1
48 48 1
89 89 1
30 30 1
20 20 1
28 28 1
25 25 1
37 37 1
88 88 1
16 16 1
68 68 3
124 124 1
81 81 1
60 60 1
41 41 1
87 88 1
35 35 1
48 48 1
124 124 1
98 98 1
40 40 1
106 120 1
31 31 1
34 34 1
13 14 1
119 119 1
56 56 2
48 56 1
57 57 1
66 70 1
84 84 1
36 36 2
124 124 4
72 72 1
59 60 1
47 48 2
91 91 1
20 21 1
72 72 1
112 113 1
108 108 1
15 18 1
39 39 1
58 58 1
40 41 1
46 46 1
27 27 1
38 38 1
46 64 1
81 81 1
122 122 1
22 22 1
119 120 1
25 26 1
38 38 1
46 46 1
54 54 1
97 97 2
23 23 1
74 97 1
64 64 1
24 24 1
107 108 1
49 49 1
17 17 1
95 95 1
39 41 1
109 109 1
21 21 1
60 60 1
28 28 1
76 76 1
33 33 1
59 60 1
98 99 1
24 24 1
124 124 1
103 103 1
87 87 1
121 121 1
93 93 1
48 48 1
47 63 1
72 72 1
79 79 1
98 98 1
82 82 1
30 30 1
92 92 2
76 76 1
76 77 1
24 24 1
104 105 1
71 71 1
66 66 1
37 37 1
100 100 1
85 86 2
27 28 2
100 100 1
94 94 1
41 41 1
