bin1    bin2    count
150 150 1
127 127 1
12 12 1
136 136 1
138 139 1
98 98 1
96 96 1
158 158 1
160 160 1
72 72 1
165 165 1
46 46 1
126 154 1
20 20 1
39 39 1
13 13 1
42 42 1
101 101 1
138 155 1
166 166 1
6 33 1
116 123 1
119 120 1
110 110 1
20 20 1
84 85 1
110 110 1
126 126 2
97 136 1
163 163 1
79 79 1
20 20 1
98 98 1
135 135 1
13 17 1
48 50 1
21 21 2
18 18 1
72 73 1
19 19 1
106 128 1
34 34 1
72 72 2
163 163 1
78 115 1
154 154 1
73 73 2
161 161 1
39 39 1
106 161 1
14 14 1
95 97 1
137 137 1
81 81 2
47 48 1
149 149 1
18 18 1
137 157 1
151 151 1
85 95 1
97 157 1
48 48 1
161 161 1
88 88 1
48 48 1
103 161 1
55 55 1
5 6 1
96 96 1
151 162 1
111 111 1
160 160 1
39 39 1
90 90 1
62 63 1
135 135 1
160 160 1
37 83 1
83 83 1
99 99 1
23 23 1
123 123 1
141 141 1
131 131 1
140 140 1
99 99 1
66 66 1
97 157 1
47 48 1
34 34 1
74 74 1
94 152 2
96 96 1
22 22 1
19 19 1
79 80 1
162 162 1
44 44 1
60 62 1
33 38 1
112 112 1
17 17 2
136 153 1
58 58 1
155 155 1
94 94 1
55 55 1
123 123 1
161 161 1
69 69 1
81 88 1
53 53 1
132 132 2
160 160 1
91 153 1
65 113 1
91 91 1
56 57 1
115 115 1
47 49 1
61 61 1
139 139 1
141 141 1
7 7 1
37 37 1
14 15 1
162 162 1
164 164 1
130 130 1
113 127 1
6 21 1
72 72 1
75 75 1
71 71 1
12 12 1
157 157 1
18 18 1
9 9 1
71 99 2
83 100 1
149 151 1
56 56 1
46 46 1
130 130 1
41 42 1
53 53 1
42 42 1
90 90 1
97 97 1
104 104 2
95 125 1
156 156 1
11 11 1
79 79 2
163 163 1
72 72 1
20 20 1
159 159 1
148 148 1
120 120 1
147 147 1
92 92 1
42 128 1
162 162 2
133 133 1
74 74 1
163 163 1
67 67 1
83 83 2
61 79 1
140 140 1
129 129 1
37 45 1
106 106 1
140 140 1
12 68 1
149 152 2
21 33 1
95 95 1
130 130 1
87 87 1
160 160 1
81 83 1
151 151 1
95 95 1
136 136 1
12 12 1
41 44 1
153 153 1
162 163 2
39 39 1
41 42 1
16 16 1
48 51 1
43 93 1
107 107 1
148 148 1
160 160 1
116 117 1
107 108 1
133 133 1
92 92 1
16 17 1
161 161 1
148 148 1
113 113 1
73 73 1
67 67 1
54 54 2
62 67 1
84 84 1
63 65 1
16 16 1
139 158 1
109 109 1
103 103 1
164 164 1
96 132 2
147 156 1
67 67 2
37 37 1
8 8 2
156 156 2
151 151 1
101 101 1
35 35 2
83 83 1
130 130 1
68 70 1
95 95 1
54 54 2
150 150 1
