bin1    bin2    count
134 138 1
132 132 1
104 104 1
126 126 1
72 72 1
74 74 1
41 41 1
73 73 1
98 98 1
103 103 1
19 19 1
130 130 1
45 45 1
123 125 1
103 105 1
129 129 1
152 152 1
73 73 1
70 70 1
16 16 1
83 83 1
138 138 1
61 61 1
61 61 1
87 87 1
41 41 1
68 68 1
81 91 1
154 155 1
156 156 1
115 115 1
76 76 1
131 131 1
105 126 1
5 5 1
49 49 1
100 101 1
13 13 1
104 106 1
39 39 1
45 45 1
73 73 1
156 156 1
136 136 1
90 90 1
157 157 1
109 109 1
136 136 1
10 10 1
11 11 1
91 112 1
119 119 1
127 127 1
22 22 1
97 98 3
116 116 1
116 116 1
44 44 1
160 160 1
9 39 1
101 101 1
45 45 1
39 39 1
84 84 1
153 153 1
106 106 1
149 149 1
94 94 1
79 79 1
151 151 1
106 106 1
11 11 1
126 126 1
75 75 1
49 49 1
20 72 1
88 89 2
162 163 1
161 161 1
19 19 1
50 50 1
41 43 2
86 86 1
106 106 1
160 160 1
106 106 2
159 164 1
108 108 1
35 35 1
42 42 1
12 13 1
74 74 1
10 10 1
117 117 1
108 135 1
130 148 1
139 139 1
70 70 1
58 58 1
16 19 1
102 102 1
153 153 1
69 69 1
129 129 1
21 21 1
45 45 2
113 113 1
153 156 1
141 142 1
49 49 2
98 98 1
35 35 1
112 112 1
53 53 1
126 155 1
18 18 1
100 100 1
127 127 1
69 71 1
9 9 1
50 50 1
39 39 1
154 154 1
58 58 1
162 162 1
125 126 1
39 39 1
136 136 1
136 136 1
5 5 1
6 6 1
136 136 1
99 99 1
6 6 1
149 149 1
108 108 1
12 12 1
116 116 1
155 155 1
101 103 1
103 103 1
139 139 1
78 78 1
6 6 1
79 79 2
38 38 1
142 142 1
45 45 1
152 152 1
38 39 1
105 128 1
100 104 1
47 47 1
34 34 1
39 39 1
68 68 1
43 43 1
125 125 1
76 76 1
153 153 2
14 14 1
68 68 1
16 16 1
166 166 1
165 165 1
137 137 1
140 140 1
151 151 1
98 98 1
118 118 1
158 158 1
83 83 1
149 149 1
