bin1    bin2    count
50 50 1
10 10 1
21 21 1
30 30 1
12 12 2
3 3 1
26 26 1
73 73 2
38 38 1
43 43 1
25 25 1
30 30 1
57 57 1
91 91 1
63 63 1
68 69 1
35 35 1
70 70 1
63 63 1
31 31 1
29 29 1
91 91 1
18 21 1
91 91 1
8 8 1
86 86 1
64 64 1
27 27 1
71 71 1
35 35 1
11 11 1
91 91 1
14 14 1
80 80 1
47 47 1
31 31 1
52 52 1
10 10 1
87 87 1
55 55 1
44 44 1
84 84 2
26 26 1
27 27 1
73 73 1
50 50 1
37 37 1
57 57 1
53 53 1
68 68 1
28 28 1
86 86 1
28 28 1
8 8 1
68 68 1
64 65 1
16 16 1
19 19 1
44 73 1
35 35 1
33 33 1
83 83 2
65 65 1
17 17 1
54 54 2
53 54 1
80 80 1
71 78 1
65 65 1
91 91 1
56 56 2
65 65 1
74 74 1
28 28 1
12 12 2
71 72 1
87 87 1
57 57 2
83 84 2
26 26 1
50 50 1
27 27 2
29 29 1
69 69 1
11 11 1
43 43 2
42 42 1
38 38 1
27 27 1
64 64 2
51 56 1
65 65 1
86 86 1
86 86 1
44 89 1
29 29 1
14 14 1
3 3 1
80 80 1
73 73 1
43 43 1
12 12 1
25 25 1
78 78 1
53 53 1
24 24 1
86 86 1
41 42 2
43 43 1
75 75 1
35 36 1
31 31 1
35 35 1
64 64 1
71 71 1
56 56 1
72 72 1
49 49 1
35 35 1
36 37 1
34 34 1
91 91 1
74 75 1
32 32 1
81 81 1
55 55 1
15 15 1
51 52 1
3 3 1
72 72 1
25 25 1
5 5 1
93 93 1
74 74 1
33 33 2
22 22 1
57 57 1
25 25 1
40 40 1
27 27 1
14 14 1
91 91 1
75 75 1
51 51 1
25 25 1
86 86 1
80 80 1
12 12 1
70 70 1
35 35 1
85 85 2
12 12 1
80 81 1
35 35 1
10 10 1
25 25 1
93 94 2
20 21 1
6 6 1
30 30 2
34 34 1
69 69 1
31 31 1
9 9 1
26 26 1
73 73 1
91 93 1
44 44 2
68 68 1
9 9 1
61 61 1
81 81 1
72 72 1
30 30 1
25 25 1
65 65 1
16 16 2
29 29 1
26 26 1
91 91 1
91 91 1
82 82 2
37 37 1
93 93 1
45 45 1
23 36 1
74 74 1
80 80 1
3 3 1
56 56 1
29 29 1
73 73 1
85 86 1
14 14 1
26 26 2
12 12 1
56 56 1
42 71 1
26 26 1
20 20 1
56 56 1
15 16 1
31 31 1
29 29 1
10 10 1
79 79 1
82 82 1
44 44 1
51 51 1
25 25 1
61 61 1
57 80 1
89 89 1
66 66 1
49 49 1
88 88 1
80 80 1
5 5 1
86 86 1
67 67 1
48 48 1
10 10 1
4 4 1
15 15 2
3 3 1
11 11 1
66 79 1
82 82 1
43 43 1
47 47 1
24 24 1
80 80 1
45 45 1
68 68 1
30 30 1
81 81 1
86 87 1
75 75 1
12 12 1
3 3 1
34 34 1
75 92 1
79 79 1
11 11 2
32 32 1
24 24 1
74 75 1
63 63 1
11 11 1
53 53 1
31 31 1
10 10 1
72 72 1
77 77 1
81 81 1
8 9 1
63 63 1
38 38 1
28 28 1
43 43 1
81 82 1
34 34 1
90 90 1
