0	1	2
53	53	6
72	72	9
106	107	3
130	130	5
21	21	5
87	87	2
55	55	10
33	33	1
76	76	3
7	9	3
126	126	2
37	37	9
35	35	10
78	82	3
7	10	2
106	108	2
86	117	4
4	4	2
70	71	5
32	32	6
122	122	2
52	52	9
79	79	8
118	118	2
113	119	3
73	73	4
63	69	2
113	124	2
123	131	5
57	57	2
124	125	3
8	8	2
95	95	5
83	115	3
82	85	3
45	45	5
15	21	1
91	91	3
36	36	5
112	112	7
96	96	5
81	135	3
105	106	2
84	118	2
71	72	3
92	92	1
100	132	5
52	53	2
61	61	5
77	113	3
10	11	1
44	44	8
134	134	3
83	83	4
102	102	9
59	59	5
0	3	4
63	70	8
55	108	3
0	0	1
67	67	3
131	131	5
109	109	4
71	71	6
90	94	5
14	14	1
78	106	2
15	16	3
97	97	6
9	9	5
57	59	3
43	43	5
58	58	7
13	13	1
7	13	4
72	73	3
119	119	5
122	123	5
78	126	3
112	135	1
110	110	4
23	30	2
93	93	1
124	133	1
18	21	2
127	127	4
84	110	1
44	45	4
32	54	2
117	117	5
33	38	4
24	24	3
87	120	4
121	121	9
79	99	1
1	1	2
3	23	2
49	49	3
120	120	3
109	115	1
90	92	4
60	60	2
84	84	4
110	125	4
100	130	4
65	74	1
30	31	2
63	63	1
104	104	1
28	28	4
79	112	1
132	132	2
22	23	2
77	134	2
82	82	2
123	123	1
7	7	4
47	47	1
82	106	1
9	120	1
84	130	2
64	65	1
107	108	1
63	73	1
102	105	2
128	128	2
17	17	5
20	20	2
62	62	1
93	95	2
113	113	3
83	124	3
4	10	1
62	64	1
66	68	1
2	2	3
85	124	1
85	85	3
107	107	3
3	52	1
50	50	3
68	99	1
26	26	2
74	75	3
31	31	3
113	114	1
0	36	1
9	10	1
34	34	1
52	76	2
24	27	1
108	108	3
107	109	1
116	117	1
13	14	2
80	110	2
24	98	2
60	61	2
74	74	1
67	69	1
99	99	2
52	63	1
111	111	1
104	111	1
91	92	3
132	133	1
7	8	1
45	99	2
4	28	1
79	80	1
100	100	1
99	111	4
0	90	2
101	101	1
12	29	1
8	10	2
87	88	1
3	4	1
6	26	2
126	129	1
85	110	1
70	70	2
81	82	1
30	50	1
87	117	2
54	108	2
49	89	3
83	100	1
109	135	1
11	11	3
81	96	2
71	104	1
78	78	2
56	56	2
4	6	1
88	88	1
114	114	2
6	31	1
6	6	2
78	135	1
77	77	1
103	104	1
3	3	1
5	5	1
27	27	1
80	131	1
116	116	1
6	23	1
26	63	1
22	22	1
26	33	1
