1	2	3
5	5	7
52	53	3
54	54	2
13	13	4
30	34	6
56	57	4
51	51	9
45	45	7
15	15	8
47	47	5
7	14	3
57	58	2
40	40	2
42	42	7
38	51	2
4	5	2
58	58	5
14	14	5
56	56	2
6	15	2
12	12	6
37	37	3
38	38	2
55	55	2
16	16	2
3	3	4
36	36	10
11	11	5
31	31	1
35	51	2
39	39	6
17	17	7
19	53	1
49	49	2
41	41	2
36	37	1
20	22	3
44	44	5
21	21	1
14	33	3
50	50	1
7	7	4
33	56	4
12	37	2
53	53	4
1	1	9
53	54	1
6	6	1
10	10	2
30	30	1
29	30	1
10	55	2
30	31	1
4	4	2
4	6	3
2	2	4
35	50	1
6	7	2
35	35	2
48	48	3
7	15	1
18	34	2
40	51	1
19	19	2
47	48	1
8	8	1
21	23	1
3	40	1
3	4	3
52	52	1
16	17	1
2	3	1
42	44	1
29	29	1
57	57	1
6	10	1
34	34	1
35	36	1
35	46	1
