bin1    bin2    count
118 118 1
44 50 1
97 97 1
137 157 1
92 113 1
18 18 1
88 113 1
97 127 1
86 86 2
37 66 1
111 111 1
141 141 1
106 140 1
11 11 1
141 142 1
22 22 1
54 54 1
7 34 1
160 160 2
152 153 1
12 12 1
6 34 1
70 70 1
141 159 1
105 105 1
91 118 1
13 13 1
48 49 1
126 126 1
107 107 1
115 115 2
11 13 1
151 154 1
113 135 2
105 105 1
33 33 1
88 88 1
38 38 1
110 110 1
134 162 1
138 138 1
84 84 1
59 59 1
143 152 1
9 44 1
83 86 1
35 35 1
101 101 1
83 83 1
74 74 1
43 43 1
53 53 2
136 136 1
69 96 2
150 150 1
136 136 1
161 163 1
89 89 1
7 7 1
157 157 1
92 92 1
81 81 1
68 68 1
38 38 1
106 137 1
106 137 1
75 87 1
14 55 1
141 141 1
109 109 1
110 110 1
81 81 1
43 44 1
134 138 2
108 139 1
164 164 1
59 59 1
137 137 1
152 164 1
58 58 1
90 90 1
64 83 1
107 108 1
21 21 1
17 34 1
85 88 1
158 158 1
159 159 1
59 59 1
84 113 1
137 137 1
129 156 1
104 104 1
14 37 1
40 40 2
110 110 1
20 20 1
23 23 1
15 15 2
134 134 1
45 45 1
83 92 1
87 87 1
74 74 1
92 117 1
148 149 1
165 165 1
70 72 1
18 18 1
106 106 1
125 125 1
148 160 1
162 162 1
12 12 1
41 41 2
45 45 1
68 68 1
69 91 1
85 86 1
64 64 1
151 154 2
7 7 2
140 160 2
142 142 1
66 66 1
71 71 1
82 82 1
47 47 1
140 163 1
158 158 1
18 18 1
68 94 1
155 155 1
110 115 1
152 152 1
102 103 1
64 64 1
46 46 1
160 160 1
41 41 1
7 57 1
108 108 1
109 128 1
99 99 1
78 79 1
55 55 1
141 152 1
12 12 2
75 75 2
72 72 1
155 165 1
119 120 1
38 38 1
63 63 1
96 96 1
63 63 1
114 115 1
126 126 2
136 163 1
82 82 1
98 98 2
150 150 1
140 140 1
87 94 1
45 45 1
78 78 1
150 150 1
147 147 1
17 17 1
153 153 1
150 162 1
92 92 1
35 35 1
38 38 1
96 96 1
80 80 1
61 95 1
163 163 1
72 117 1
77 77 1
156 156 1
114 139 2
41 41 2
74 74 2
153 153 1
116 116 1
161 165 1
58 76 1
56 56 1
126 126 1
159 159 1
104 104 1
35 66 3
17 17 1
17 17 2
98 98 1
100 130 1
135 156 1
44 47 1
69 87 1
160 160 1
80 80 1
54 54 1
95 95 1
48 48 1
114 114 2
140 140 1
42 42 1
153 155 1
11 11 1
138 138 1
106 106 1
113 113 2
21 21 1
59 59 1
13 13 2
96 97 1
141 166 1
95 95 1
159 159 1
109 137 2
127 128 1
130 130 2
90 90 1
81 99 1
135 136 1
6 6 1
95 95 1
82 82 2
59 61 1
78 78 1
5 5 1
140 152 1
159 161 1
161 161 1
125 125 1
5 6 1
125 125 1
112 113 1
82 85 1
78 78 1
73 75 1
46 46 1
97 160 1
67 70 1
129 129 1
74 74 1
156 159 1
138 156 1
47 47 1
102 133 1
