bin1    bin2    count
21 21 1
73 73 1
47 47 1
76 77 1
57 57 1
23 23 1
84 84 1
81 81 1
21 21 1
34 34 2
69 69 1
65 65 1
87 87 1
79 79 1
27 28 2
72 72 1
10 10 1
34 34 1
33 33 2
7 79 1
49 49 1
44 44 2
62 62 1
89 89 1
45 45 2
6 6 1
84 85 1
48 48 1
10 10 1
6 6 1
29 29 1
10 58 1
26 28 1
55 56 1
4 4 1
26 26 1
11 11 1
76 77 1
31 32 1
64 64 1
43 43 1
68 84 1
80 80 1
75 75 1
73 73 1
44 46 1
73 73 1
25 25 1
89 89 1
79 79 1
67 67 1
79 79 1
14 15 1
36 36 1
65 76 1
56 56 1
71 71 1
24 33 1
85 85 1
3 48 1
30 30 1
11 17 1
75 76 1
9 9 1
9 22 1
20 20 1
88 88 2
59 59 1
28 28 1
52 52 1
78 78 1
48 48 1
23 23 1
49 50 1
35 35 1
31 31 1
5 5 1
37 37 1
82 83 1
36 36 1
15 15 1
40 40 2
43 43 1
65 65 1
55 55 1
43 43 1
28 28 2
66 66 2
28 28 1
16 17 1
79 79 1
36 36 1
5 5 1
26 26 1
33 33 1
16 17 1
30 30 1
6 7 1
21 21 1
10 59 1
29 46 1
4 4 1
10 10 1
66 66 1
83 83 1
42 42 1
5 5 1
9 9 1
14 14 1
42 42 1
88 89 2
87 88 1
79 79 1
37 37 1
29 29 1
45 45 1
37 37 3
72 72 1
76 76 1
84 85 1
20 21 1
76 76 1
58 58 1
31 31 1
63 63 1
15 15 1
11 11 1
79 80 1
34 34 1
25 25 1
56 56 1
34 34 1
21 21 1
34 34 1
4 4 1
62 62 2
58 58 1
10 10 1
7 7 1
22 22 1
12 12 1
67 67 1
20 20 1
29 29 1
37 37 1
8 8 1
51 52 1
65 76 1
10 10 1
50 50 1
50 54 1
34 34 1
52 52 1
26 26 1
38 38 1
29 29 1
22 22 1
86 86 1
76 77 1
36 36 1
80 80 1
61 77 1
74 84 1
53 53 1
83 83 1
87 87 1
8 9 1
80 80 1
89 89 1
85 85 1
74 74 1
54 54 1
30 31 1
31 32 1
13 16 1
18 19 1
45 45 1
73 73 1
55 55 1
15 16 1
89 89 2
32 32 1
63 65 1
47 48 1
75 75 1
9 9 1
51 83 1
77 77 1
56 56 1
37 37 2
60 60 1
13 14 1
65 65 1
65 65 1
76 76 1
79 79 2
13 13 1
52 52 1
11 14 1
43 46 1
7 79 1
6 6 1
68 68 1
68 68 1
63 63 1
22 22 1
14 14 1
18 19 1
86 86 1
38 38 1
49 49 1
39 39 1
11 11 1
35 35 1
67 67 1
22 22 1
5 5 1
14 14 1
88 89 1
41 53 1
14 14 2
17 17 1
28 28 1
43 47 1
35 35 2
21 21 1
76 76 1
18 18 1
87 87 2
35 35 1
21 21 1
14 14 1
72 72 1
74 74 1
36 36 1
46 47 1
46 46 1
38 38 1
79 79 1
10 10 1
51 51 1
85 85 1
13 13 1
32 33 1
42 43 1
8 8 1
68 68 1
15 15 1
59 59 1
15 15 1
25 25 1
80 80 1
64 64 1
8 8 1
90 90 1
75 75 1
54 54 1
71 72 1
4 4 1
49 49 3
9 9 1
79 79 1
10 57 1
74 74 1
65 75 1
27 27 1
42 42 1
67 67 1
35 36 1
33 33 1
45 49 1
34 34 2
39 39 1
34 34 1
37 37 1
56 56 1
89 89 2
39 39 1
61 62 1
77 77 1
75 75 1
76 76 1
7 8 1
12 13 2
71 71 1
81 81 2
77 77 1
64 65 1
37 37 1
88 88 1
59 59 1
53 53 1
57 57 1
88 88 1
46 46 1
75 75 1
40 40 1
10 10 1
60 60 1
29 31 1
49 49 1
85 86 1
41 41 1
29 29 1
24 24 1
51 51 1
81 81 1
55 55 1
7 78 1
35 35 1
69 69 1
38 38 1
87 87 1
32 32 1
40 40 1
69 69 1
67 67 1
77 77 1
50 54 2
23 23 1
54 54 1
29 29 1
34 34 1
70 70 1
68 69 1
65 76 1
36 36 1
79 79 1
88 88 1
29 29 1
85 85 1
61 61 1
9 61 1
5 5 1
11 17 1
44 45 1
72 72 3
63 63 1
41 41 1
10 10 1
79 79 2
27 28 1
68 68 1
15 15 1
38 38 1
76 76 1
87 87 1
5 6 1
40 40 1
84 84 1
83 83 1
21 34 1
36 36 1
41 85 1
18 18 1
85 86 1
74 84 1
71 71 2
56 56 1
18 18 2
45 50 1
36 36 1
87 87 1
47 49 1
39 40 1
86 86 2
73 73 1
62 62 1
5 5 1
84 84 1
36 36 1
36 36 1
26 26 1
85 86 1
79 79 3
9 60 1
49 49 1
24 24 1
50 50 1
6 6 1
26 26 1
23 31 1
45 45 2
24 24 1
38 38 1
61 61 1
67 67 1
42 43 1
64 64 1
63 63 1
53 53 1
38 38 1
27 28 1
83 83 1
64 64 1
4 4 1
64 64 1
10 10 1
64 64 1
42 42 1
10 21 1
17 17 1
15 15 1
21 21 1
34 34 1
36 37 1
11 61 1
24 24 1
88 88 1
13 15 1
24 24 1
72 72 1
43 43 1
22 22 1
86 86 1
4 4 1
19 19 1
40 40 1
13 13 1
63 63 1
54 54 1
55 55 1
10 10 1
59 59 1
69 69 2
68 87 1
59 59 1
31 32 1
64 64 1
57 61 2
36 36 2
70 70 1
49 49 1
28 28 1
36 36 2
34 34 1
66 66 1
51 83 1
79 79 1
65 65 1
51 83 1
33 33 1
36 36 1
55 55 1
11 14 1
80 80 1
40 40 1
82 82 2
8 8 1
55 55 1
48 48 1
59 59 3
39 39 1
78 79 1
11 43 1
80 80 2
26 26 2
20 20 1
21 21 1
78 78 1
50 50 1
32 32 1
72 72 1
66 66 1
38 38 1
60 60 1
22 22 1
85 85 1
82 82 2
15 15 1
11 11 1
66 66 1
79 79 1
49 49 1
49 49 2
30 30 1
20 21 2
35 38 1
25 31 1
35 35 1
49 49 3
27 27 1
62 62 2
75 75 1
7 7 2
4 4 1
87 87 1
85 85 1
57 57 1
75 76 1
7 7 1
18 18 1
41 41 1
44 44 1
57 57 1
71 71 2
32 32 1
59 59 1
67 67 1
